"","Site","Plot","Row","Column","Species.x","C_E_or_T.x","Rep.x","Germinate.x","Done?","Notes.x","Species.y","C_E_or_T.y","Rep.y","Germinate.y","Done","Notes.y"
"1005",5,"B",10,6,"PEAI","E",1,"5",NA,NA,"PEAI","E",1,"5",NA,NA
"1006",5,"B",10,7,"PEAI","E",2,"3",NA,NA,"PEAI","E",2,"3","Y",NA
"1007",5,"B",10,8,"LARO","T",1,"4",NA,NA,"LARO","T",1,"4",NA,NA
"1008",5,"B",10,9,"VERO","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1009",5,"C",1,1,"TROR","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1010",5,"C",1,2,"VERO","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1011",5,"C",1,3,"PLDE","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012",5,"C",1,4,"PLDE","C",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013",5,"C",1,5,"TRCY","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1014",5,"C",1,6,"HYGL","E",2,"6",NA,NA,"HYGL","E",2,"6","Y",NA
"1015",5,"C",1,7,"ARCA","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1016",5,"C",1,8,"HYGL","T",2,"6",NA,NA,"HYGL","T",2,"6","Y",NA
"1017",5,"C",1,9,"LARO","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1018",5,"C",2,1,"POLE","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1019",5,"C",2,2,"HYGL","E",1,"7",NA,NA,"HYGL","E",1,"7",NA,NA
"1020",5,"C",2,3,"VERO","C",2,"1",NA,NA,"VERO","C",2,"1",NA,NA
"1021",5,"C",2,4,"ARCA","E",3,"1",NA,NA,"ARCA","E",3,"1",NA,NA
"1022",5,"C",2,5,"LARO","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1023",5,"C",2,6,"ARCA","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1024",5,"C",2,7,"TRCY","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1025",5,"C",2,8,"ARCA","C",1,"2",NA,NA,"ARCA","C",1,"2",NA,NA
"1026",5,"C",2,9,"PEAI","T",1,"2",NA,NA,"PEAI","T",1,"2",NA,NA
"1027",5,"C",3,1,"TRCY","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1028",5,"C",3,2,"POLE","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1029",5,"C",3,3,"LARO","E",3,"1",NA,NA,"LARO","E",3,"1","Y",NA
"1030",5,"C",3,4,"LARO","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1031",5,"C",3,5,"PLDE","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032",5,"C",3,6,"PEAI","C",3,"4",NA,NA,"PEAI","C",3,"4","Y",NA
"1033",5,"C",3,7,"TRCY","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1034",5,"C",3,8,"TROR","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1035",5,"C",3,9,"PEAI","C",2,"1?",NA,NA,"PEAI","C",2,"1?","Y",NA
"1036",5,"C",4,1,"PEAI","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1037",5,"C",4,2,"TRCY","C",3,"3",NA,NA,"TRCY","C",3,"3",NA,NA
"1038",5,"C",4,3,"TRCY","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1039",5,"C",4,4,"POLE","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1040",5,"C",4,5,"PLDE","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041",5,"C",4,6,"ARCA","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1042",5,"C",4,7,"TRCY","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1043",5,"C",4,8,"VERO","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1044",5,"C",4,9,"POLE","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1045",5,"C",5,1,"LARO","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1046",5,"C",5,2,"TRCY","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1047",5,"C",5,8,"POLE","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1048",5,"C",5,9,"VERO","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1049",5,"C",6,1,"HYGL","C",1,"7",NA,NA,"HYGL","C",1,"7",NA,NA
"1050",5,"C",6,2,"LARO","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1051",5,"C",6,8,"LARO","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1052",5,"C",6,9,"POLE","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1053",5,"C",7,1,"LARO","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1054",5,"C",7,2,"PLDE","T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055",5,"C",7,8,"PLDE","T",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056",5,"C",7,9,"PEAI","T",2,"5",NA,NA,"PEAI","T",2,"5",NA,NA
"1057",5,"C",8,1,"PEAI","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1058",5,"C",8,2,"VERO","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1059",5,"C",8,3,"TROR","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1060",5,"C",8,4,"TROR","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1061",5,"C",8,6,"HYGL","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1062",5,"C",8,7,"TROR","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1063",5,"C",8,8,"VERO","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1064",5,"C",8,9,"TROR","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1065",5,"C",9,1,"PLDE","C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1066",5,"C",9,2,"TROR","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1067",5,"C",9,3,"PEAI","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1068",5,"C",9,4,"POLE","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1069",5,"C",9,6,"ARCA","T",1,"1?",NA,NA,"ARCA","T",1,"1?","Y",NA
"1070",5,"C",9,7,"VERO","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1071",5,"C",9,8,"HYGL","C",2,"3",NA,NA,"HYGL","C",2,"3",NA,NA
"1072",5,"C",9,9,"VERO","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1073",5,"C",10,1,"PLDE","E",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074",5,"C",10,2,"PEAI","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1075",5,"C",10,3,"POLE","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1076",5,"C",10,4,"HYGL","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1077",5,"C",10,6,"HYGL","C",3,"5",NA,NA,"HYGL","C",3,"5","Y",NA
"1078",5,"C",10,7,"TROR","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1079",5,"C",10,8,"ARCA","C",2,"1",NA,NA,"ARCA","C",2,"1","Y",NA
"1080",5,"C",10,9,"ARCA","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1081",6,"A",1,1,"PLDE","C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082",6,"A",1,2,"VERO","T",2,"9",NA,NA,"VERO","T",2,"9",NA,NA
"1083",6,"A",1,3,"TRCY","T",1,"5",NA,NA,"TRCY","T",1,"5",NA,NA
"1084",6,"A",1,4,"TRCY","E",1,"13",NA,NA,"TRCY","E",1,"13",NA,NA
"1085",6,"A",1,5,"PEAI","T",1,"14",NA,NA,"PEAI","T",1,"14",NA,NA
"1086",6,"A",1,6,"TRCY","C",3,"2",NA,NA,"TRCY","C",3,"2",NA,NA
"1087",6,"A",1,7,"LARO","E",2,"10",NA,NA,"LARO","E",2,"10",NA,NA
"1088",6,"A",1,8,"HYGL","T",2,"3",NA,NA,"HYGL","C",1,"3",NA,"Swap"
"1089",6,"A",1,9,"HYGL","E",3,"3",NA,NA,"HYGL","E",3,"3",NA,NA
"1090",6,"A",2,1,"TRCY","T",2,"8",NA,NA,"TRCY","T",2,"8",NA,NA
"1091",6,"A",2,2,"HYGL","T",1,"2",NA,NA,"HYGL","C",3,"2",NA,"Swap"
"1092",6,"A",2,3,"LARO","T",2,"12",NA,NA,"LARO","T",2,"12",NA,NA
"1093",6,"A",2,4,"LARO","E",1,"6",NA,NA,"LARO","E",1,"6",NA,NA
"1094",6,"A",2,5,"ARCA","C",2,"8",NA,NA,"ARCA","C",2,"8",NA,NA
"1095",6,"A",2,6,"ARCA","E",2,"6",NA,NA,"ARCA","E",2,"6","Y",NA
"1096",6,"A",2,7,"VERO","E",1,"4",NA,NA,"VERO","E",1,"4",NA,NA
"1097",6,"A",2,8,"HYGL","E",1,"4",NA,NA,"HYGL","E",1,"4",NA,NA
"1098",6,"A",2,9,"PEAI","E",1,"10",NA,NA,"PEAI","E",1,"10",NA,NA
"1099",6,"A",3,1,"PEAI","C",3,"7",NA,NA,"PEAI","C",3,"7",NA,NA
"1100",6,"A",3,2,"LARO","C",3,"9",NA,NA,"LARO","C",3,"9",NA,NA
"1101",6,"A",3,3,"HYGL","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1102",6,"A",3,4,"TROR","C",2,"11",NA,NA,"TROR","C",2,"11",NA,NA
"1103",6,"A",3,5,"ARCA","T",2,"12",NA,NA,"ARCA","T",2,"12",NA,NA
"1104",6,"A",3,6,"ARCA","E",3,"2",NA,NA,"ARCA","E",3,"2",NA,NA
"1105",6,"A",3,7,"POLE","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1106",6,"A",3,8,"PEAI","E",2,"10",NA,NA,"PEAI","E",2,"10",NA,NA
"1107",6,"A",3,9,"TROR","T",2,"11",NA,NA,"TROR","T",2,"11",NA,NA
"1108",6,"A",4,1,"HYGL","E",2,"4",NA,NA,"HYGL","E",2,"4",NA,NA
"1109",6,"A",4,2,"HYGL","C",2,"4",NA,NA,"HYGL","C",2,"4",NA,NA
"1110",6,"A",4,3,"LARO","T",1,"5",NA,NA,"LARO","E",3,"5",NA,"Swap"
"1111",6,"A",4,4,"ARCA","E",1,"4",NA,NA,"ARCA","E",1,"4",NA,NA
"1112",6,"A",4,5,"TROR","E",1,"6",NA,NA,"TROR","E",1,"6",NA,NA
"1113",6,"A",4,6,"LARO","C",1,"6",NA,NA,"LARO","C",1,"6",NA,NA
"1114",6,"A",4,7,"PEAI","T",2,"7",NA,NA,"PEAI","T",2,"7",NA,NA
"1115",6,"A",4,8,"POLE","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1116",6,"A",4,9,"VERO","T",1,"12",NA,NA,"VERO","T",1,"12",NA,NA
"1117",6,"A",5,1,"ARCA","C",3,"3",NA,NA,"ARCA","C",3,"3",NA,NA
"1118",6,"A",5,2,"PEAI","C",2,"7",NA,NA,"PEAI","C",2,"7",NA,NA
"1119",6,"A",5,8,"PLDE","C",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120",6,"A",5,9,"TROR","E",2,"12",NA,NA,"TROR","E",2,"12",NA,NA
"1121",6,"A",6,1,"VERO","E",2,"6",NA,NA,"VERO","E",2,"6",NA,NA
"1122",6,"A",6,2,"TRCY","C",2,"7",NA,NA,"TRCY","C",2,"7",NA,NA
"1123",6,"A",6,8,"ARCA","T",1,"7",NA,NA,"ARCA","T",1,"7","Y",NA
"1124",6,"A",6,9,"PLDE","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1125",6,"A",7,1,"HYGL","C",1,"1",NA,NA,"HYGL","T",2,"1","Y","Swap (14/08/21 was duplicate C1)"
"1126",6,"A",7,2,"POLE","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1127",6,"A",7,8,"PLDE","T",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128",6,"A",7,9,"VERO","C",3,"1",NA,NA,"VERO","C",3,"1","Y","Not sure my seed"
"1129",6,"A",8,1,"TRCY","E",2,"6",NA,NA,"TRCY","E",2,"6",NA,NA
"1130",6,"A",8,2,"TROR","C",3,"6",NA,NA,"TROR","C",3,"6",NA,NA
"1131",6,"A",8,3,"PEAI","E",3,"8",NA,NA,"PEAI","E",3,"8",NA,NA
"1132",6,"A",8,4,"PLDE","E",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133",6,"A",8,6,"TROR","T",1,"7",NA,NA,"TROR","T",1,"7",NA,NA
"1134",6,"A",8,7,"TRCY","C",1,"11",NA,NA,"TRCY","C",1,"11",NA,NA
"1135",6,"A",8,8,"POLE","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1136",6,"A",8,9,"TROR","E",3,"7",NA,NA,"TROR","E",3,"7",NA,NA
"1137",6,"A",9,1,"PLDE","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138",6,"A",9,2,"PLDE","T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139",6,"A",9,3,"ARCA","C",1,"2",NA,NA,"ARCA","C",1,"2","Y",NA
"1140",6,"A",9,4,"POLE","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1141",6,"A",9,6,"VERO","E",3,"7",NA,NA,"VERO","E",3,"7",NA,NA
"1142",6,"A",9,7,"VERO","C",2,"3",NA,NA,"VERO","C",2,"3",NA,NA
"1143",6,"A",9,8,"TROR","C",1,"9",NA,NA,"TROR","C",1,"9",NA,NA
"1144",6,"A",9,9,"POLE","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1145",6,"A",10,1,"PLDE","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146",6,"A",10,2,"LARO","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1147",6,"A",10,3,"PEAI","C",1,"6",NA,NA,"PEAI","C",1,"6","Y",NA
"1148",6,"A",10,4,"LARO","C",2,"3",NA,NA,"LARO","C",2,"3","Y",NA
"1149",6,"A",10,6,"VERO","C",1,"6",NA,NA,"VERO","C",1,"6",NA,NA
"1150",6,"A",10,7,"TRCY","E",3,"11",NA,NA,"TRCY","E",3,"11",NA,NA
"1151",6,"A",10,8,"POLE","T",2,"2",NA,NA,"POLE","E",1,"2",NA,"Swap"
"1152",6,"A",10,9,"POLE","C",2,"6",NA,NA,"POLE","C",2,"6",NA,NA
"1153",6,"B",1,1,"POLE","C",3,"5",NA,NA,"POLE","C",3,"5",NA,NA
"1154",6,"B",1,2,"ARCA","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1155",6,"B",1,3,"HYGL","E",3,"7",NA,NA,"HYGL","E",3,"7",NA,NA
"1156",6,"B",1,4,"PLDE","C",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157",6,"B",1,5,"HYGL","C",2,"3",NA,NA,"HYGL","C",2,"3",NA,NA
"1158",6,"B",1,6,"PLDE","T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",6,"B",1,7,"TRCY","C",1,"9",NA,NA,"TRCY","C",1,"9",NA,NA
"1160",6,"B",1,8,"VERO","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1161",6,"B",1,9,"TRCY","E",3,"12",NA,NA,"TRCY","E",3,"12",NA,NA
"1162",6,"B",2,1,"TROR","E",2,"12",NA,NA,"TROR","E",2,"12",NA,NA
"1163",6,"B",2,2,"POLE","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1164",6,"B",2,3,"TROR","T",1,"8",NA,NA,"TROR","T",1,"8",NA,NA
"1165",6,"B",2,4,"TRCY","E",1,"5",NA,NA,"TRCY","E",1,"5",NA,NA
"1166",6,"B",2,5,"PLDE","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167",6,"B",2,6,"PEAI","E",1,"12",NA,NA,"PEAI","E",1,"12",NA,NA
"1168",6,"B",2,7,"TROR","E",3,"9",NA,NA,"TROR","E",3,"9",NA,NA
"1169",6,"B",2,8,"ARCA","T",2,"2",NA,NA,"ARCA","C",3,"2",NA,"Swap"
"1170",6,"B",2,9,"POLE","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1171",6,"B",3,1,"HYGL","T",2,"1",NA,NA,"HYGL","C",1,"1",NA,"Swap"
"1172",6,"B",3,2,"TRCY","C",2,"9",NA,NA,"TRCY","C",2,"9",NA,NA
"1173",6,"B",3,3,"VERO","T",2,"1",NA,NA,"VERO","T",2,"1",NA,NA
"1174",6,"B",3,4,"LARO","C",1,"6",NA,NA,"LARO","C",1,"6",NA,NA
"1175",6,"B",3,5,"POLE","E",3,"4",NA,NA,"POLE","E",3,"4",NA,NA
"1176",6,"B",3,6,"PEAI","T",2,"6",NA,NA,"PEAI","C",3,"6",NA,"Swap"
"1177",6,"B",3,7,"LARO","E",1,"5",NA,NA,"LARO","E",1,"5",NA,NA
"1178",6,"B",3,8,"ARCA","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1179",6,"B",3,9,"PLDE","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180",6,"B",4,1,"ARCA","E",3,"1",NA,NA,"ARCA","E",3,"1",NA,NA
"1181",6,"B",4,2,"TROR","C",1,"9",NA,NA,"TROR","C",1,"9",NA,NA
"1182",6,"B",4,3,"HYGL","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1183",6,"B",4,4,"PEAI","E",3,"11",NA,NA,"PEAI","E",3,"11",NA,NA
"1184",6,"B",4,5,"VERO","C",2,"6",NA,NA,"VERO","C",2,"6",NA,NA
"1185",6,"B",4,6,"VERO","E",3,"4",NA,NA,"VERO","E",3,"4",NA,NA
"1186",6,"B",4,7,"ARCA","C",2,"4",NA,NA,"ARCA","C",2,"4",NA,NA
"1187",6,"B",4,8,"TRCY","T",2,"7",NA,NA,"TRCY","T",2,"7",NA,NA
"1188",6,"B",4,9,"PEAI","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1189",6,"B",5,1,"PEAI","C",1,"10",NA,NA,"PEAI","C",1,"10",NA,NA
"1190",6,"B",5,2,"PLDE","T",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191",6,"B",5,8,"HYGL","E",1,"4",NA,NA,"HYGL","E",1,"4",NA,NA
"1192",6,"B",5,9,"PEAI","C",2,"10",NA,NA,"PEAI","C",2,"10","Y",NA
"1193",6,"B",6,1,"PLDE","E",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194",6,"B",6,2,"VERO","E",1,"9",NA,NA,"VERO","E",1,"9",NA,NA
"1195",6,"B",6,8,"LARO","T",1,"8",NA,NA,"LARO","T",1,"8",NA,NA
"1196",6,"B",6,9,"POLE","T",1,"1",NA,NA,"POLE","E",1,"1",NA,"Swap"
"1197",6,"B",7,1,"HYGL","T",1,"3",NA,NA,"HYGL","T",1,"3","Y",NA
"1198",6,"B",7,2,"PLDE","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1199",6,"B",7,8,"POLE","C",2,"1",NA,NA,"POLE","C",2,"1",NA,NA
"1200",6,"B",7,9,"LARO","T",2,"9",NA,NA,"LARO","T",2,"9",NA,NA
"1201",6,"B",8,1,"PEAI","T",1,"15",NA,NA,"PEAI","T",1,"15",NA,NA
"1202",6,"B",8,2,"LARO","C",2,"5",NA,NA,"LARO","C",2,"5",NA,NA
"1203",6,"B",8,3,"ARCA","E",2,"3",NA,NA,"ARCA","E",2,"3",NA,NA
"1204",6,"B",8,4,"TRCY","C",3,"8",NA,NA,"TRCY","C",3,"8",NA,NA
"1205",6,"B",8,6,"TRCY","T",1,"6",NA,NA,"TRCY","T",1,"6",NA,NA
"1206",6,"B",8,7,"TROR","C",3,"10",NA,NA,"TROR","C",3,"10",NA,NA
"1207",6,"B",8,8,"ARCA","E",1,"6",NA,NA,"ARCA","E",1,"6",NA,NA
"1208",6,"B",8,9,"TROR","E",1,"4",NA,NA,"TROR","E",1,"4",NA,NA
"1209",6,"B",9,1,"LARO","E",2,"8",NA,NA,"LARO","E",2,"8",NA,NA
"1210",6,"B",9,2,"POLE","E",2,"1",NA,NA,"POLE","E",2,"1",NA,NA
"1211",6,"B",9,3,"PLDE","C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212",6,"B",9,4,"HYGL","C",3,"4",NA,NA,"HYGL","C",3,"4",NA,NA
"1213",6,"B",9,6,"LARO","E",3,"8",NA,NA,"LARO","E",3,"8",NA,NA
"1214",6,"B",9,7,"POLE","T",2,"2",NA,NA,"POLE","C",1,"2",NA,"Swap"
"1215",6,"B",9,8,"HYGL","E",2,"5",NA,NA,"HYGL","E",2,"5",NA,NA
"1216",6,"B",9,9,"TROR","T",2,"8",NA,NA,"TROR","T",2,"8",NA,NA
"1217",6,"B",10,1,"VERO","T",1,"12",NA,NA,"VERO","E",2,"12",NA,"Swap"
"1218",6,"B",10,2,"ARCA","C",1,"3",NA,NA,"ARCA","C",1,"3",NA,NA
"1219",6,"B",10,3,"TROR","C",2,"9",NA,NA,"TROR","C",2,"9",NA,NA
"1220",6,"B",10,4,"VERO","C",3,"7",NA,NA,"VERO","C",3,"7",NA,NA
"1221",6,"B",10,6,"VERO","C",1,"4",NA,NA,"VERO","C",1,"4",NA,NA
"1222",6,"B",10,7,"TRCY","E",2,"10",NA,NA,"TRCY","E",2,"10",NA,NA
"1223",6,"B",10,8,"LARO","C",3,"9",NA,NA,"LARO","C",3,"9",NA,NA
"1224",6,"B",10,9,"PEAI","E",2,"8",NA,NA,"PEAI","E",2,"8",NA,NA
"1225",6,"C",1,1,"POLE","T",2,"1",NA,NA,"POLE","C",2,"1",NA,"Swap"
"1226",6,"C",1,2,"TRCY","E",3,"4",NA,NA,"TRCY","E",3,"4",NA,NA
"1227",6,"C",1,3,"TROR","T",2,"8",NA,NA,"TROR","C",1,"8",NA,"Swap"
"1228",6,"C",1,4,"LARO","T",1,"9",NA,NA,"LARO","E",1,"9",NA,"Swap"
"1229",6,"C",1,5,"VERO","E",2,"7",NA,NA,"VERO","E",2,"7",NA,NA
"1230",6,"C",1,6,"PEAI","E",3,"12",NA,NA,"PEAI","E",3,"12",NA,NA
"1231",6,"C",1,7,"HYGL","C",3,"1",NA,NA,"HYGL","C",3,"1",NA,NA
"1232",6,"C",1,8,"HYGL","T",2,"1",NA,NA,"HYGL","E",2,"1",NA,"Swap. Check which one"
"1233",6,"C",1,9,"PEAI","T",1,"8",NA,NA,"PEAI","T",1,"8",NA,NA
"1234",6,"C",2,1,"HYGL","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1235",6,"C",2,2,"HYGL","T",1,"2",NA,NA,"HYGL","E",1,"2",NA,"Swap. Check which one"
"1236",6,"C",2,3,"VERO","E",1,"5",NA,NA,"VERO","E",1,"5",NA,NA
"1237",6,"C",2,4,"PLDE","C",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1238",6,"C",2,5,"PLDE","T",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239",6,"C",2,6,"ARCA","E",1,"4",NA,NA,"ARCA","E",1,"4","Y",NA
"1240",6,"C",2,7,"PEAI","T",2,"5",NA,NA,"PEAI","T",2,"5",NA,NA
"1241",6,"C",2,8,"ARCA","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1242",6,"C",2,9,"PLDE","C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243",6,"C",3,1,"PEAI","C",1,"11",NA,NA,"PEAI","C",1,"11",NA,NA
"1244",6,"C",3,2,"TROR","E",1,"8",NA,NA,"TROR","E",1,"8",NA,NA
"1245",6,"C",3,3,"PEAI","E",4,"4",NA,NA,"PEAI","E",4,"4",NA,"Swap. There are two PEAI E1s (this used to be a pole but peai was planted accidentally)"
"1246",6,"C",3,4,"PEAI","C",2,"6",NA,NA,"PEAI","C",2,"6",NA,NA
"1247",6,"C",3,5,"VERO","C",1,"9",NA,NA,"VERO","C",1,"9",NA,NA
"1248",6,"C",3,6,"TRCY","E",2,"8",NA,NA,"TRCY","T",1,"8","Y","Swap"
"1249",6,"C",3,7,"TROR","C",3,"10",NA,NA,"TROR","C",3,"10",NA,NA
"1250",6,"C",3,8,"TROR","C",1,"5",NA,NA,"TROR","T",2,"5","Y","Swap"
"1251",6,"C",3,9,"VERO","C",2,"2",NA,NA,"VERO","C",2,"2",NA,NA
"1252",6,"C",4,1,"POLE","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1253",6,"C",4,2,"ARCA","C",3,"4",NA,NA,"ARCA","C",3,"4","Y",NA
"1254",6,"C",4,3,"LARO","T",2,"1",NA,NA,"LARO","C",2,"1",NA,"Swap"
"1255",6,"C",4,4,"ARCA","T",2,"3",NA,NA,"ARCA","E",3,"3",NA,"Swap"
"1256",6,"C",4,5,"POLE","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1257",6,"C",4,6,"TRCY","C",2,"10",NA,NA,"TRCY","C",2,"10",NA,NA
"1258",6,"C",4,7,"PLDE","T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259",6,"C",4,8,"TRCY","C",1,"5",NA,NA,"TRCY","C",1,"5",NA,NA
"1260",6,"C",4,9,"PEAI","E",2,"5",NA,NA,"PEAI","E",2,"5",NA,NA
"1261",6,"C",5,1,"HYGL","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1262",6,"C",5,2,"TRCY","T",1,"11",NA,NA,"TRCY","E",2,"11",NA,"Swap"
"1263",6,"C",5,8,"TROR","E",2,"6",NA,NA,"TROR","E",2,"6","Y",NA
"1264",6,"C",5,9,"HYGL","C",2,"6",NA,NA,"HYGL","C",2,"6",NA,NA
"1265",6,"C",6,1,"PLDE","E",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266",6,"C",6,2,"VERO","E",3,"6",NA,NA,"VERO","E",3,"6",NA,NA
"1267",6,"C",6,8,"PLDE","E",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268",6,"C",6,9,"LARO","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1269",6,"C",7,1,"POLE","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1270",6,"C",7,2,"TROR","E",3,"8",NA,NA,"TROR","T",1,"8","Y","Swap"
"1271",6,"C",7,8,"HYGL","C",1,"5",NA,NA,"HYGL","C",1,"5",NA,NA
"1272",6,"C",7,9,"ARCA","T",1,"3",NA,NA,"ARCA","C",1,"3",NA,"Swap"
"1273",6,"C",8,1,"VERO","T",1,"7",NA,NA,"VERO","T",1,"7",NA,NA
"1274",6,"C",8,2,"LARO","E",3,"8",NA,NA,"LARO","E",3,"8","Y",NA
"1275",6,"C",8,3,"POLE","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"1276",6,"C",8,4,"PLDE","E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1277",6,"C",8,6,"PEAI","C",3,"3",NA,NA,"PEAI","C",3,"3",NA,NA
"1278",6,"C",8,7,"VERO","C",3,"4",NA,NA,"VERO","C",3,"4",NA,NA
"1279",6,"C",8,8,"TROR","T",1,"9",NA,NA,"TROR","E",3,"9",NA,"Swap"
