Row,Column,Species,C_E_or_T,Rep
5,2,ARCA,E,2
5,8,PEAI,C,2
5,9,PLDE,E,3
6,1,LARO,C,1
6,2,TRCY,E,3
6,8,LARO,E,3
6,9,VERO,E,2
7,1,TRCY,E,1
7,2,ARCA,E,3
7,8,PLDE,E,1
7,9,VERO,C,2
8,1,POLE,E,2
8,2,VERO,E,1
8,3,ARCA,T,1
8,4,PLDE,C,2
8,6,PLDE,E,2
8,7,VERO,T,2
8,8,TROR,C,2
8,9,TRCY,C,1
9,1,VERO,E,3
9,2,POLE,E,1
9,3,PLDE,T,2
9,4,ARCA,T,2
9,6,LARO,C,2
9,7,TRCY,C,3
9,8,TRCY,C,2
9,9,PLDE,C,3
10,1,HYGL,T,1
10,2,VERO,C,1
10,3,TROR,E,1
10,4,PEAI,C,1
10,6,PEAI,E,2
10,7,VERO,C,3
10,8,HYGL,C,1
10,9,POLE,C,3
1,1,TROR,T,2
1,2,PEAI,E,2
1,3,VERO,E,2
1,4,ARCA,T,2
1,5,ARCA,E,1
1,6,TRCY,T,1
1,7,ARCA,C,1
1,8,TROR,E,2
1,9,TRCY,E,3
2,1,ARCA,C,2
2,2,TRCY,E,1
2,3,LARO,T,1
2,4,PLDE,E,3
2,5,TRCY,C,2
2,6,VERO,E,1
2,7,LARO,C,2
2,8,TROR,C,1
2,9,TRCY,T,2
3,1,ARCA,C,3
3,2,LARO,C,1
3,3,POLE,E,2
3,4,LARO,E,2
3,5,PEAI,E,1
3,6,ARCA,E,2
3,7,POLE,T,2
3,8,TRCY,C,1
3,9,PLDE,C,1
4,1,HYGL,E,1
4,2,TROR,C,3
4,3,ARCA,T,1
4,4,PLDE,C,3
4,5,LARO,T,2
4,6,PEAI,C,1
4,7,VERO,T,2
4,8,POLE,T,1
4,9,TROR,E,1
5,1,LARO,C,3
5,2,HYGL,C,1
5,8,TRCY,C,3
5,9,LARO,E,1
6,1,TRCY,E,2
6,2,VERO,C,3
6,8,PEAI,C,2
6,9,PEAI,T,1
7,1,PLDE,T,2
7,2,POLE,E,3
7,8,HYGL,C,2
7,9,ARCA,E,3
8,1,PEAI,C,3
8,2,VERO,E,3
8,3,TROR,C,2
8,4,POLE,C,2
8,6,TROR,T,1
8,7,VERO,T,1
8,8,PLDE,E,2
8,9,PLDE,C,2
9,1,TROR,E,3
9,2,PLDE,T,1
9,3,HYGL,C,3
9,4,PLDE,E,1
9,6,VERO,C,2
9,7,VERO,C,1
9,8,LARO,E,3
9,9,PEAI,E,3
10,1,HYGL,T,1
10,2,HYGL,E,3
10,3,POLE,C,1
10,4,HYGL,E,2
10,6,PEAI,T,2
10,7,POLE,C,3
10,8,POLE,E,1
10,9,HYGL,T,2
1,1,ARCA,E,1
1,2,PLDE,C,2
1,3,POLE,C,2
1,4,ARCA,E,3
1,5,TRCY,T,1
1,6,PLDE,C,1
1,7,VERO,C,1
1,8,PLDE,T,2
1,9,POLE,C,1
2,1,VERO,E,1
2,2,POLE,E,2
2,3,HYGL,E,2
2,4,VERO,E,3
2,5,ARCA,T,1
2,6,VERO,C,3
2,7,HYGL,E,1
2,8,TRCY,E,1
2,9,LARO,T,2
3,1,TROR,E,2
3,2,LARO,E,1
3,3,TRCY,E,2
3,4,LARO,C,3
3,5,PEAI,C,2
3,6,VERO,E,2
3,7,TROR,T,1
3,8,ARCA,C,2
