"","R squared biotic model","R squared abiotic model"
"ARCA",0.096417219080166,0.248973726998623
"HYGL",0.0245366517789329,0.0770880626123196
"LARO",0.142039580775303,0.29786264330231
"PEAI",0.0298638218217579,0.303063992393773
"POLE",0.0846170142677984,0.27431252614642
"PLDE",0.00550508285614215,0.160731403660586
"TRCY",0.0445412743372473,0.0780837541555586
"TROR",0.0192638416719627,0.0681144227870737
"VERO",0.0106741173800103,0.0264617032562649
