"","R squared biotic model","R squared abiotic model"
"ARCA",0.171359044191618,0.13708449923282
"HYGL",0.0806101230199503,0.118963461076978
"LARO",0.0480271263828006,0.00160148235075132
"PEAI",0.00940255123977414,0.0426735793250787
"POLE",0.02873588034214,0.158646333875644
"PLDE",0.363477899384149,0.135659301862425
"TRCY",0.0957429703346897,0.0148405916639668
"TROR",0.0781870449418705,0.045874346878285
"VERO",0.146796207074714,0.0184848751818277
