"","Species","Site","Plot","Neighbours01","No_viable_seeds_grouped","log_seeds","total_no_nbh","total_nbh","plot_fecundity_no_nbh","mean_plot_fec_no_nbh","plot_fecundity_nbh","mean_plot_fec_nbh"
"436","TROR","6","C","1",4,1.38629436111989,12,10,5.65685424949238,6,3.1748021039364,3.33333333333333
"437","LARO","6","C","1",0,0,0,0,0,0,0,0
"438","ARCA","7","A","0",3,1.09861228866811,12,0,5.19615242270663,6,NA,NA
"439","PEAI","7","A","0",18,2.89037175789616,36,63,10.0265958699292,12,13.4164078649987,31.5
"440","PEAI","7","A","0",14,2.63905732961526,36,63,10.0265958699292,12,13.4164078649987,31.5
"441","LARO","7","A","0",6,1.79175946922805,15,2,3.13016916014657,3.75,2,2
"442","VERO","7","A","0",28,3.3322045101752,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"443","ARCA","7","A","0",9,2.19722457733622,12,0,5.19615242270663,6,NA,NA
"444","POLE","7","A","0",125,4.8283137373023,125,0,125,125,NA,NA
"445","TROR","7","A","0",14,2.63905732961526,62,4,8.66046988618229,12.4,2,2
"446","TROR","7","A","0",2,0.693147180559945,62,4,8.66046988618229,12.4,2,2
"447","LARO","7","A","1",2,0.693147180559945,15,2,3.13016916014657,3.75,2,2
"448","TROR","7","A","0",29,3.36729582998647,62,4,8.66046988618229,12.4,2,2
"449","LARO","7","A","0",1,0,15,2,3.13016916014657,3.75,2,2
"450","VERO","7","A","1",14,2.63905732961526,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"451","PEAI","7","A","1",3,1.09861228866811,36,63,10.0265958699292,12,13.4164078649987,31.5
"452","TRCY","7","A","0",31,3.43398720448515,63,5,8.23812964652534,12.6,5,5
"453","VERO","7","A","1",19,2.94443897916644,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"454","LARO","7","A","0",4,1.38629436111989,15,2,3.13016916014657,3.75,2,2
"455","PEAI","7","A","0",4,1.38629436111989,36,63,10.0265958699292,12,13.4164078649987,31.5
"456","HYGL","7","A","1",18,2.89037175789616,0,22,NA,NA,8.48528137423857,11
"457","TROR","7","A","0",12,2.484906649788,62,4,8.66046988618229,12.4,2,2
"458","TROR","7","A","0",5,1.6094379124341,62,4,8.66046988618229,12.4,2,2
"459","HYGL","7","A","1",4,1.38629436111989,0,22,NA,NA,8.48528137423857,11
"460","TRCY","7","A","1",5,1.6094379124341,63,5,8.23812964652534,12.6,5,5
"461","TROR","7","A","1",4,1.38629436111989,62,4,8.66046988618229,12.4,2,2
"462","VERO","7","A","0",22,3.09104245335832,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"463","TRCY","7","A","0",4,1.38629436111989,63,5,8.23812964652534,12.6,5,5
"464","TROR","7","A","1",0,0,62,4,8.66046988618229,12.4,2,2
"465","VERO","7","A","1",8,2.07944154167984,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"466","VERO","7","A","0",18,2.89037175789616,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"467","VERO","7","A","0",26,3.25809653802148,94,41,23.17163299616,23.5,12.8624551827592,13.6666666666667
"468","TRCY","7","A","0",2,0.693147180559945,63,5,8.23812964652534,12.6,5,5
"469","PEAI","7","A","1",60,4.0943445622221,36,63,10.0265958699292,12,13.4164078649987,31.5
"470","LARO","7","A","0",4,1.38629436111989,15,2,3.13016916014657,3.75,2,2
"471","TRCY","7","A","0",17,2.83321334405622,63,5,8.23812964652534,12.6,5,5
"472","TRCY","7","A","0",9,2.19722457733622,63,5,8.23812964652534,12.6,5,5
"473","HYGL","7","B","1",16,2.77258872223978,93,63,23.508522636843,31,27.4226184016042,31.5
"474","ARCA","7","B","1",4,1.38629436111989,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"475","ARCA","7","B","0",14,2.63905732961526,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"476","PEAI","7","B","1",8,2.07944154167984,161,12,45.7503807188599,53.6666666666667,5.65685424949238,6
"477","VERO","7","B","1",1,0,122,19,58.5832740635072,61,3.55689330449006,6.33333333333333
"478","HYGL","7","B","0",8,2.07944154167984,93,63,23.508522636843,31,27.4226184016042,31.5
"479","TROR","7","B","1",2,0.693147180559945,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"480","TROR","7","B","0",4,1.38629436111989,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"481","TROR","7","B","1",21,3.04452243772342,23,23,4.18255821036509,4.6,6.48074069840786,11.5
"482","TRCY","7","B","0",7,1.94591014905531,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"483","TRCY","7","B","0",18,2.89037175789616,80,13,15.4310601708312,20,3.63424118566428,4.33333333333333
"484","ARCA","7","B","1",5,1.6094379124341,72,9,8.64548628449077,14.4,4.47213595499958,4.5
"485","TROR","7","B","0",2,0.693147180559945,23,23,4.18255821036509,4.6,6.48074069840786,11.5
