"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","TRCY_E2","ARCA_E1","Blank","Blank","PLDE_E3","PEAI_C1","LARO_C2","PLDE_E1","Blank"
"2","TRCY_C2","ARCA_C2","PLDE_C2","Blank","HYGL_E2","Blank","TRCY_C3","LARO_C3","PEAI_C2"
"3","VERO_E1","Blank","HYGL_E3","Blank","PLDE_C1","Blank","HYGL_E1","PEAI_E1","ARCA_E2"
"4","Blank","PEAI_E2","TRCY_E3","PLDE_C3","VERO_E2","VERO_C3","TROR_E2","TROR_C3","Blank"
"5","Blank","TROR_E1","Blank","Blank","Blank","PEAI_E3","ARCA_C3","Blank","Blank"
"6","LARO_E3","PEAI_C3","Blank","ARCA_C1","ARCA_E3","HYGL_C1","VERO_C1","TRCY_E1","HYGL_C2"
"7","VERO_C2","LARO_C1","TROR_C2","Blank","TRCY_C1","Blank","Blank","VERO_E3","TROR_E3"
"8","HYGL_C3","TROR_C1","PLDE_E2","Blank","LARO_E2","LARO_E1","Blank","Blank","Blank"
