"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","PLDE_C3","Blank","TROR_C1","HYGL_C3","Blank","Blank","HYGL_C2","TRCY_E1","PLDE_E2"
"2","Blank","Blank","TROR_C2","HYGL_C1","VERO_E3","ARCA_E2","PEAI_E3","Blank","ARCA_C1"
"3","LARO_C3","Blank","Blank","PEAI_C2","TROR_E2","VERO_E2","Blank","Blank","Blank"
"4","VERO_C2","TRCY_C3","PLDE_C1","PEAI_E2","TRCY_E3","PLDE_C2","LARO_C1","Blank","TRCY_E2"
"5","Blank","Blank","PEAI_C3","Blank","TRCY_C2","Blank","ARCA_E3","Blank","ARCA_C2"
"6","Blank","TROR_E3","PEAI_E1","TRCY_C1","ARCA_C3","VERO_E1","HYGL_E3","TROR_E1","PLDE_E3"
"7","Blank","VERO_C1","TROR_C3","Blank","Blank","HYGL_E1","PEAI_C1","LARO_E3","Blank"
"8","HYGL_E2","LARO_C2","PLDE_E1","LARO_E2","LARO_E1","Blank","Blank","VERO_C3","ARCA_E1"
