Species,Collection_site,Collection_plot,Individual,Leaf,Fresh_mass_mg,Dry_mass_mg,Leaf_area_cm2
POLE,C,NA,1,3,8.1,1.47,0.433
POLE,C,NA,2,1,9.9,1.434,0.515
POLE,C,NA,2,2,38.1,4.476,1.554
POLE,C,NA,2,3,24.1,3.148,1.045
POLE,C,NA,3,1,20.1,3.726,0.948
POLE,C,NA,3,2,17.7,3.284,0.789
POLE,C,NA,3,3,15.4,2.762,0.682
POLE,C,NA,4,1,31.8,3.792,1.408
POLE,C,NA,4,2,15.8,2.076,0.723
POLE,C,NA,4,3,14.4,2.3,0.749
POLE,C,NA,5,1,6.3,1.14,0.331
POLE,C,NA,5,2,8.5,1.526,0.489
POLE,C,NA,5,3,16.7,2.524,0.767
POLE,D,NA,1,1,15.5,2.674,0.808
POLE,D,NA,1,2,6.5,1.36,0.553
POLE,D,NA,1,3,13.6,2.29,0.848
POLE,D,NA,2,1,17.2,2.13,0.652
POLE,D,NA,2,2,18.3,2.6,0.759
POLE,D,NA,2,3,11.6,1.78,0.49
POLE,D,NA,3,1,16.4,2.78,0.79
POLE,D,NA,3,2,10.9,1.896,0.652
POLE,D,NA,3,3,9.4,1.876,0.567
POLE,D,NA,4,1,12.1,2.146,0.717
POLE,D,NA,4,2,21.7,3.412,1.087
POLE,D,NA,4,3,17.8,2.456,0.858
POLE,D,NA,5,1,10.2,1.544,0.582
POLE,D,NA,5,2,38.4,5.746,1.922
POLE,D,NA,5,3,8.2,1.534,0.488
POLE,E,NA,1,1,8.1,1.722,0.442
POLE,E,NA,1,2,17.1,3.018,0.869
POLE,E,NA,1,3,9,1.826,0.582
POLE,E,NA,2,1,15.5,2.264,0.971
POLE,E,NA,2,2,7.4,1.31,0.555
POLE,E,NA,2,3,6.8,1.16,0.503
POLE,E,NA,3,1,10.6,2.224,0.751
POLE,E,NA,3,2,15.9,2.938,0.953
POLE,E,NA,3,3,12.9,2.732,0.861
POLE,E,NA,4,1,20.1,2.62,0.974
POLE,E,NA,4,2,37.7,3.992,1.684
POLE,E,NA,4,3,13,1.728,0.742
POLE,E,NA,5,1,12.3,1.632,0.525
POLE,E,NA,5,2,10.3,1.282,0.446
POLE,E,NA,5,3,23.6,1.76,0.955
POLE,F,NA,1,1,10,1.614,0.473
POLE,F,NA,1,2,8.5,1.34,0.458
POLE,F,NA,1,3,15.5,2.308,0.826
POLE,F,NA,2,1,10.1,2.082,0.615
POLE,F,NA,2,2,16.9,3.172,0.98
POLE,F,NA,2,3,21.7,4.06,1.11
POLE,F,NA,3,1,6.6,1.01,0.36
POLE,F,NA,3,2,21.7,2.268,0.937
POLE,F,NA,3,3,10,1.332,0.467
POLE,F,NA,4,1,3.5,0.628,0.226
POLE,F,NA,4,2,9.1,1.282,0.507
POLE,F,NA,4,3,7.2,0.936,0.409
PLDE,A,NA,1,1,27.9,3.72,0.841
PLDE,A,NA,1,2,30.3,2.75,0.728
PLDE,A,NA,1,3,29.1,3.178,0.657
PLDE,A,NA,2,1,80.8,11.548,2.851
PLDE,A,NA,2,2,47.7,7.28,1.838
PLDE,A,NA,2,3,115.6,15.216,3.55
PLDE,A,NA,3,1,41.1,6.282,1.465
PLDE,A,NA,3,2,41.2,5.312,1.493
PLDE,A,NA,3,3,35.7,4.596,1.137
PLDE,A,NA,4,1,31.2,3.54,0.635
PLDE,A,NA,4,2,50.1,7.886,1.417
PLDE,A,NA,4,3,67.1,11.166,1.67
PLDE,A,NA,5,1,23.2,4.91,0.58
PLDE,A,NA,5,2,33.8,4.252,0.852
PLDE,A,NA,5,3,25.2,3.308,0.698
PLDE,B,NA,1,1,82.5,12.608,2.936
PLDE,B,NA,1,2,25.3,4.516,1.155
PLDE,B,NA,1,3,37,7.62,1.927
PLDE,B,NA,2,1,48,6.194,1.854
PLDE,B,NA,2,2,58.8,6.458,1.853
PLDE,B,NA,2,3,49.9,5.124,1.373
PLDE,B,NA,3,1,53.4,8.256,2.07
PLDE,B,NA,3,2,85.2,11.416,3.404
PLDE,B,NA,3,3,15.5,2.026,0.751
PLDE,B,NA,4,1,60.7,7.514,2.196
PLDE,B,NA,4,2,55,8.864,2.056
PLDE,B,NA,4,3,17,2.612,0.883
PLDE,B,NA,5,1,62,7.534,2.014
PLDE,B,NA,5,2,37.3,4.98,1.454
PLDE,B,NA,5,3,23.7,3.314,0.933
