Row,Column,Species,C_E_or_T,Rep,No_germinants_180720,Notes_180720,Notes_thinning_290720,No_germinants_130820,Budding_or_flowering_130820
1,1,POLE,E,2,2,"In middle of ambient area for 4A, metal peg and seed bag mesh",,2,
1,2,LARO,E,2,8,Dodder,Budding,8,Flowering
1,3,POLE,C,1,0,,,0,
1,4,TROR,E,1,6,Dodder,,6,
1,5,VERO,E,1,9,Dodder,,9,
1,6,TRCY,T,2,11,,Dodder,11,
1,7,ARCA,E,2,4,,"May die, one leaf. Dodder",4,
1,8,ARCA,C,2,5,,Dodder,5,
1,9,TRCY,C,3,2,,Dodder,2,
2,1,TRCY,E,1,7,,Dodder,7,
2,2,VERO,T,2,11,Dodder,,11,
2,3,HYGL,E,1,6,Dodder,,6,
2,4,LARO,E,1,5,Dodder,,5,
2,5,VERO,C,2,0,,Swapped with VERO T2,0,
2,6,PEAI,T,2,10,,,10,
2,7,VERO,T,1,7,,,7,
2,8,HYGL,T,2,0,,,0,
2,9,TRCY,E,2,6,,,6,
3,1,PEAI,C,1,12,,,12,
3,2,LARO,C,2,8,Dodder,,8,Budding
3,3,TROR,E,3,10,,,10,
3,4,LARO,E,3,6,,,6,
3,5,TRCY,C,1,14,,,14,
3,6,PEAI,E,2,6,,,6,
3,7,VERO,C,3,8,Dodder,,8,
3,8,ARCA,T,2,0,,,0,
3,9,HYGL,C,3,7,,,7,
4,1,POLE,T,1,0,,,0,
4,2,PLDE,C,3,8,,,8,
4,3,TRCY,T,1,10,,,10,
4,4,TROR,T,1,5,Dodder and cut. Unlikely to survive,,5,
4,5,POLE,C,2,0,,,0,
4,6,ARCA,C,1,1,Almost dead. Dodder,Likely to die. Tiny,1,
4,7,VERO,C,1,10,,Dodder,10,
4,8,LARO,C,1,3,Dodder,,3,
4,9,HYGL,E,2,4,,Dodder,4,Flowering
5,1,ARCA,E,1,8,Dodder,Plus one germinant.,9,
5,2,POLE,T,2,0,,,0,
5,8,ARCA,E,3,2,,Dodder,2,
5,9,PLDE,C,1,4,,Dodder,4,
6,1,POLE,E,3,1,,Dodder,1,
6,2,PEAI,E,1,5,,,5,
6,8,ARCA,T,1,0,,,0,
6,9,TROR,T,2,11,,,11,
7,1,PEAI,C,2,6,,,6,
7,2,POLE,C,3,6,,Dodder,6,
7,8,LARO,T,1,3,Dodder,Likely to die. Dodder,3,
7,9,PLDE,E,1,7,,Dodder,7,
8,1,PLDE,T,1,10,,,10,
8,2,PLDE,T,2,NA,,,NA,
8,3,PEAI,C,3,8,,Plus two germinants,10,
8,4,TROR,E,2,8,,,8,
8,6,HYGL,C,1,0,,Swapped with HYGL T1,0,
8,7,HYGL,C,2,6,Dodder,,6,
8,8,PEAI,T,1,5,,Plus one germinant.,6,
8,9,PLDE,C,2,11,,,11,
9,1,ARCA,C,3,1,,Dodder,1,
9,2,TROR,C,2,8,,,8,
9,3,LARO,T,2,6,Dodder,,6,
9,4,VERO,E,3,6,,,6,
9,6,PEAI,E,3,3,,,3,
9,7,TROR,C,1,9,,,9,
9,8,TROR,C,3,12,,,12,
9,9,POLE,E,1,0,,,0,
10,1,TRCY,C,2,12,,,12,
10,2,TRCY,E,3,12,,Dodder,12,
10,3,LARO,C,3,4,Focal budding,,4,
10,4,PLDE,E,3,13,,,13,
10,6,VERO,E,2,10,Dodder,Dodder,10,
10,7,PLDE,E,2,5,,,5,
10,8,HYGL,T,1,7,,Dodder,7,
10,9,HYGL,E,3,5,,Dodder,5,
