Row,Column,Species,C_E_or_T,Rep,No_germinants_200720,Notes_200720,Notes_thinning_310720,No_germinants_130820,Budding_or_flowering_130820
1,1,TROR,T,2,0,,,0,
1,2,VERO,T,2,0,,,0,
1,3,PLDE,C,1,NA,,,NA,
1,4,PLDE,C,3,NA,,,NA,
1,5,TRCY,T,2,0,,,0,
1,6,HYGL,E,2,2,,Dead,6,Four new germs
1,7,ARCA,E,1,0,,,0,
1,8,HYGL,T,2,0,,,6,Six new germs
1,9,LARO,E,1,0,,,0,
2,1,POLE,T,2,0,,,0,
2,2,HYGL,E,1,0,,,7,Seven new germs
2,3,VERO,C,2,1,,No neighbours,1,
2,4,ARCA,E,3,1,,Almost entirely dead. No neighbours,1,
2,5,LARO,T,2,0,,,0,
2,6,ARCA,T,2,0,,,0,
2,7,TRCY,C,1,0,,,0,
2,8,ARCA,C,1,2,Very small,Dead,2,
2,9,PEAI,T,1,2,,Dead,2,
3,1,TRCY,E,2,0,,,0,1? Check
3,2,POLE,C,3,0,,,0,
3,3,LARO,E,3,1,,Almost dead,1,
3,4,LARO,C,2,0,,,0,
3,5,PLDE,E,3,NA,,,NA,
3,6,PEAI,C,3,4,,Dead,4,
3,7,TRCY,T,1,0,,,0,
3,8,TROR,E,3,0,,,0,
3,9,PEAI,C,2,1?,So small hard to see,0,1?,
4,1,PEAI,E,2,0,,,0,
4,2,TRCY,C,3,3,One of which very dead,No neighbours,3,
4,3,TRCY,E,3,0,,,0,
4,4,POLE,E,3,0,,,0,
4,5,PLDE,E,1,NA,,,NA,
4,6,ARCA,C,3,0,,,0,
4,7,TRCY,E,1,0,,,0,
4,8,VERO,E,2,0,,,0,
4,9,POLE,E,2,0,,,0,
5,1,LARO,E,2,0,,,0,
5,2,TRCY,C,2,0,,,0,
5,8,POLE,T,1,0,,,0,
5,9,VERO,E,3,0,,,0,
6,1,HYGL,C,1,0,,,7,Seven new germs
6,2,LARO,C,3,0,,,0,1? Check
6,8,LARO,C,1,0,,,0,
6,9,POLE,C,2,0,,,0,
7,1,LARO,T,1,0,Nearby germ. Check,0. Dead?,0,
7,2,PLDE,T,1,NA,,,NA,
7,8,PLDE,T,2,NA,,,NA,
7,9,PEAI,T,2,1,Tiny,Dead. Plus four dead germs,5,
8,1,PEAI,E,3,0,,,0,
8,2,VERO,C,3,0,,,0,
8,3,TROR,T,1,0,,,0,
8,4,TROR,C,3,0,,,0,
8,6,HYGL,E,3,0,,,0,
8,7,TROR,E,2,0,,,0,
8,8,VERO,T,1,0,,,0,
8,9,TROR,E,1,0,,,0,
9,1,PLDE,C,2,NA,,,NA,
9,2,TROR,C,1,0,,,0,
9,3,PEAI,C,1,0,,,0,
9,4,POLE,C,1,0,,,0,
9,6,ARCA,T,1,1?,New germ. Check,Dead,1?,
9,7,VERO,C,1,0,,,0,
9,8,HYGL,C,2,1,,Dead,3,Two new germs
9,9,VERO,E,1,0,,,0,
10,1,PLDE,E,2,NA,,,NA,
10,2,PEAI,E,1,0,,,0,
10,3,POLE,E,1,0,,,0,
10,4,HYGL,T,1,0,,,0,
10,6,HYGL,C,3,3,Very little,Dead,5,Two new germs
10,7,TROR,C,2,0,,,0,
10,8,ARCA,C,2,1,One very dead. Two new germs. Check,Dead,1,
10,9,ARCA,E,2,0,,,0,
