Product code,Station number,Year,Month,monthly_total_precipitation_mm,Quality
IDCJAC0001,8107,1927,10,4.5,Y
IDCJAC0001,8107,1927,11,0,Y
IDCJAC0001,8107,1927,12,2.3,Y
IDCJAC0001,8107,1928,1,29.4,Y
IDCJAC0001,8107,1928,2,0,Y
IDCJAC0001,8107,1928,3,22.1,Y
IDCJAC0001,8107,1928,4,22.9,Y
IDCJAC0001,8107,1928,5,38.4,Y
IDCJAC0001,8107,1928,6,24.9,Y
IDCJAC0001,8107,1928,7,77.3,Y
IDCJAC0001,8107,1928,8,38.8,Y
IDCJAC0001,8107,1928,9,14,Y
IDCJAC0001,8107,1928,10,7.4,Y
IDCJAC0001,8107,1928,11,0,Y
IDCJAC0001,8107,1928,12,16.8,Y
IDCJAC0001,8107,1929,1,0,Y
IDCJAC0001,8107,1929,2,51.9,Y
IDCJAC0001,8107,1929,3,3.5,Y
IDCJAC0001,8107,1929,4,0,Y
IDCJAC0001,8107,1929,5,89.9,Y
IDCJAC0001,8107,1929,6,72.5,Y
IDCJAC0001,8107,1929,7,18.5,Y
IDCJAC0001,8107,1929,8,15,Y
IDCJAC0001,8107,1929,9,5.9,Y
IDCJAC0001,8107,1929,10,9.6,Y
IDCJAC0001,8107,1929,11,20.4,Y
IDCJAC0001,8107,1929,12,0,Y
IDCJAC0001,8107,1930,1,0,Y
IDCJAC0001,8107,1930,2,0,Y
IDCJAC0001,8107,1930,3,8.4,Y
IDCJAC0001,8107,1930,4,18.1,Y
IDCJAC0001,8107,1930,5,15.1,Y
IDCJAC0001,8107,1930,6,116.9,Y
IDCJAC0001,8107,1930,7,53,Y
IDCJAC0001,8107,1930,8,33.8,Y
IDCJAC0001,8107,1930,9,13,Y
IDCJAC0001,8107,1930,10,18,Y
IDCJAC0001,8107,1930,11,0,Y
IDCJAC0001,8107,1930,12,15.2,Y
IDCJAC0001,8107,1931,1,0,Y
IDCJAC0001,8107,1931,2,2,Y
IDCJAC0001,8107,1931,3,10.1,Y
IDCJAC0001,8107,1931,4,17.3,Y
IDCJAC0001,8107,1931,5,84.4,Y
IDCJAC0001,8107,1931,6,31.3,Y
IDCJAC0001,8107,1931,7,51.2,Y
IDCJAC0001,8107,1931,8,29.4,Y
IDCJAC0001,8107,1931,9,26.1,Y
IDCJAC0001,8107,1931,10,15,Y
IDCJAC0001,8107,1931,11,38.8,Y
IDCJAC0001,8107,1931,12,27.5,Y
IDCJAC0001,8107,1932,1,18.2,Y
IDCJAC0001,8107,1932,2,30,Y
IDCJAC0001,8107,1932,3,41.9,Y
IDCJAC0001,8107,1932,4,30.2,Y
