Row,Column,Species,C_E_or_T,Rep,No_germinants_210720,Notes_210720,Notes_thinning_010820,No_germinants_130820,Budding_or_flowering_130820
1,1,LARO,T,1,5,,,5,Flowering
1,2,TROR,E,2,1,,,1,
1,3,ARCA,C,1,9,,,9,
1,4,LARO,T,2,6,One of which very dead,Budding,6,
1,5,VERO,T,1,8,,,8,
1,6,POLE,T,2,0,,,0,
1,7,POLE,C,1,2,,,2,
1,8,ARCA,C,2,4,,,4,
1,9,HYGL,C,3,5,Need paddle pop stick,Need paddle pop stick,5,
2,1,HYGL,E,1,5,,Dodder,5,
2,2,HYGL,E,3,5,,Budding,5,
2,3,TROR,T,2,5,,,5,
2,4,POLE,T,1,0,,,0,
2,5,TROR,E,3,5,,Dodder,5,
2,6,HYGL,T,2,0,,,0,
2,7,TROR,T,1,7,,,7,
2,8,PEAI,T,1,3,,,3,
2,9,POLE,C,2,0,,,0,
3,1,PLDE,C,1,4,,Dodder,4,
3,2,LARO,E,1,4,,,4,
3,3,TRCY,E,2,4,,,4,
3,4,PEAI,C,3,8,,,8,
3,5,TRCY,T,2,14,,,14,Budding
3,6,LARO,C,3,7,,,7,
3,7,LARO,E,2,8,,Budding,8,
3,8,PEAI,E,3,4,,,4,
3,9,TROR,C,3,3,,,3,
4,1,PLDE,T,1,9,,,9,
4,2,PEAI,T,2,0,,,0,
4,3,ARCA,E,1,7,,,7,
4,4,TROR,C,1,1,Dodder,Dodder,1,
4,5,POLE,E,3,0,,,0,
4,6,TRCY,T,1,9,,,9,
4,7,PEAI,E,1,2,,,2,
4,8,ARCA,C,3,2,,Dying,2,
4,9,HYGL,C,2,3,,Budding,3,
5,1,HYGL,E,2,3,,,3,
5,2,ARCA,E,2,4,,,4,
5,8,PEAI,C,2,7,,,7,
5,9,PLDE,E,3,0,,Swapped with PLDE T1,0,
6,1,LARO,C,1,7,,Dodder,7,Budding
6,2,TRCY,E,3,0,,Swapped with TRCY T1,0,
6,8,LARO,E,3,1,,,1,
6,9,VERO,E,2,10,,,10,Budding
7,1,TRCY,E,1,1,,Plus one germinant,2,
7,2,ARCA,E,3,4,,,4,
7,8,PLDE,E,1,10,,,10,
7,9,VERO,C,2,7,Dodder,,7,
8,1,POLE,E,2,0,,,0,
8,2,VERO,E,1,10,,,10,Budding
8,3,ARCA,T,1,1,,,1,
8,4,PLDE,C,2,1,,,1,
8,6,PLDE,E,2,6,,,6,
8,7,VERO,T,2,9,,,9,
8,8,TROR,C,2,0,,Swapped with TROR T1,0,
8,9,TRCY,C,1,2,,,2,
9,1,VERO,E,3,7,,Dead. Swapped with VERO T1,7,
9,2,POLE,E,1,0,,,0,
9,3,PLDE,T,2,0,,,0,
9,4,ARCA,T,2,2,,Dodder,2,
9,6,LARO,C,2,7,Dodder,,7,
9,7,TRCY,C,3,9,,Dodder,9,
9,8,TRCY,C,2,10,,Dodder,10,
9,9,PLDE,C,3,0,,,0,
10,1,HYGL,T,1,0,,,0,
10,2,VERO,C,1,9,,Dead. Swapped with VERO T2,9,
10,3,TROR,E,1,1,Dodder,Plus one germinant,2,
10,4,PEAI,C,1,5,,,5,
10,6,PEAI,E,2,4,,,4,
10,7,VERO,C,3,6,,Dodder,6,Budding
10,8,HYGL,C,1,2,Dodder,Budding. Dodder,2,Flowering
10,9,POLE,C,3,1,,,1,
