Row,Column,Species,C_E_or_T,Rep,No_germinants_190720,Notes_190720,Notes_thinning_010820,No_germinants_130820,Budding_or_flowering_130820
1,1,HYGL,E,2,0,,,0,
1,2,LARO,T,2,2,,Budding,2,Budding
1,3,VERO,T,2,8,,Swapped with VERO C1,8,
1,4,VERO,E,1,9,,,9,
1,5,POLE,C,2,0,,,0,
1,6,POLE,E,1,0,,,0,
1,7,ARCA,T,1,7,,Dead,7,
1,8,VERO,T,1,0,Not sure if done,,0,
1,9,HYGL,C,3,1,Maybe. Check ID. Not very healthy,,1,
2,1,TRCY,C,1,2,,,2,
2,2,PEAI,E,1,5,,Dead,5,
2,3,TROR,E,1,4,Not sure if done,,4,
2,4,VERO,C,1,1,,Swapped,1,Budding
2,5,VERO,C,3,4,,Almost dead,4,
2,6,TROR,C,3,3,,,3,Budding
2,7,PLDE,C,3,2,Swapped,,2,
2,8,PLDE,C,2,0,,,0,
2,9,PEAI,C,2,0,,Swapped with PEAI T1,0,
3,1,HYGL,T,1,0,Not sure if done,,0,
3,2,POLE,C,3,0,,,0,
3,3,HYGL,C,2,0,,,0,
3,4,TROR,E,3,3,,,3,
3,5,TROR,C,2,10,,Dead,10,
3,6,LARO,E,1,1,,Dead,1,
3,7,ARCA,E,2,1,,Dead,1,
3,8,VERO,E,2,5,Most very dead. Focal likely to die.,,5,
3,9,LARO,C,3,0,,Swapped with LARO T2,0,
4,1,LARO,C,1,1,,One neighbour,1,
4,2,LARO,T,1,0,,,0,
4,3,PLDE,T,2,1,Swapped,No PLDE. Incorrect ID?,0,
4,4,TROR,T,2,4,,,4,
4,5,LARO,C,2,1,,Starting to flower,1,Budding
4,6,TRCY,E,1,6,,,6,
4,7,HYGL,E,3,0,,,0,
4,8,HYGL,C,1,0,,,0,
4,9,TRCY,C,3,6,,,6,
5,1,TRCY,E,3,13,,,13,Budding
5,2,ARCA,C,1,3,,,3,
5,8,PEAI,E,2,0,,Swapped with PEAI T2,0,
5,9,LARO,E,3,2,,Budding,2,Flowering
6,1,HYGL,E,1,0,,,0,
6,2,PEAI,C,3,1,,,1,
6,8,POLE,T,1,0,,,0,
6,9,ARCA,C,3,1?,3 Feb germs. Check ID,Not ARCA,1?,
7,1,ARCA,C,2,5,1 Feb germ,Dead/gone,5,
7,2,PLDE,E,3,0,,,0,
7,8,POLE,C,1,0,,Swapped with POLE T2,0,
7,9,TRCY,C,2,13,,No neighbours,13,
8,1,TRCY,E,2,13,,,13,
8,2,VERO,C,2,1,Dead. Maybe new germ!? Check,Nothing,1,
8,3,PEAI,C,1,4,,No neighbours. Swapped with PEAI E3,4,
8,4,HYGL,T,2,0,,,0,
8,6,TROR,C,1,7,,One neighbour. Swapped with TROR E2,7,
8,7,POLE,T,2,2,,,2,
8,8,ARCA,E,1,1,2 Feb germs,,1,
8,9,POLE,E,3,0,,,0,
9,1,PLDE,E,1,1,,,1,
9,2,TRCY,T,1,11,,,11,
9,3,POLE,E,2,1,Not sure my seed,Think it's POCA. Budding,0,
9,4,PEAI,T,2,5,,,5,
9,6,PEAI,E,3,4,,Two neighbours. Swapped,4,
9,7,VERO,E,3,5,,,5,
9,8,TROR,T,1,6,,,6,
9,9,PLDE,E,2,1,Lost a seed. Likely to die,Dead,1,
10,1,PLDE,C,1,9,,,9,
10,2,TROR,E,2,4,,,4,
10,3,ARCA,T,2,2,,Dead,2,
10,4,PEAI,T,1,1,,,1,
10,6,PLDE,T,1,0,,,0,
10,7,LARO,E,2,1,,,1,
10,8,TRCY,T,2,14,,,14,
10,9,ARCA,E,3,1,2 Feb germs,Dead,2,
