Site,Plot,Species,C_E_or_T,Rep,No_viable_seeds,No_inviable_seeds,Counted_by,Notes
8,C,VERO,C,1,48,5,TH,
7,C,HYGL,T,2,17,21,TH,"I think this was an ambient HYGL that I thinned and collected, so removing"
2,C,VERO,C,3,18,2,TH,
3,C,VERO,E,1,17,13,TH,
2,B,ARCA,C,3,0,0,TH,
7,C,TRCY,E,3,19,1,TH,
1,A,ARCA,E,1,7,3,TH,
6,A,VERO,T,2,23,6,TH,
5,B,ARCA,E,2,0,15,TH,
8,B,ARCA,E,1,0,33,TH,
2,B,VERO,E,2,62,4,TH,
1,A,VERO,E,1,9,6,TH,
2,A,VERO,E,3,40,7,TH,
7,C,ARCA,E,1,276,287,TH,
8,C,VERO,C,1,41,6,TH,
7,C,VERO,E,3,4,1,TH,
7,C,VERO,E,1,9,1,TH,
1,B,ARCA,C,3,0,0,TH,
1,A,VERO,E,2,10,3,TH,
8,C,LARO,C,2,42,69,TH,
2,A,HYGL,C,3,6,10,TH,
7,C,VERO,T,1,8,2,TH,
3,A,VERO,E,3,2,0,TH,
3,B,VERO,E,1,17,2,TH,
8,B,ARCA,C,3,0,75,TH,
6,C,ARCA,E,3,0,0,TH,
2,C,VERO,E,3,18,9,TH,
5,A,LARO,E,1,2,9,TH,
2,B,VERO,C,1,6,6,TH,
6,C,VERO,T,1,3,1,TH,
7,C,HYGL,E,3,16,13,TH,
2,C,VERO,C,2,41,9,TH,
3,B,ARCA,E,2,0,16,TH,
2,B,VERO,T,1,51,6,TH,
6,C,VERO,C,3,5,3,TH,
3,C,VERO,T,2,21,16,TH,
5,A,VERO,E,2,7,1,TH,
7,A,VERO,T,1,22,4,TH,
2,A,VERO,E,1,12,0,TH,
2,C,VERO,T,1,24,5,TH,
1,A,VERO,C,3,35,10,TH,
4,A,PEAI,E,3,5,30,AC,"Mostly undeveloped? Plumping, not brown"
1,B,POLE,E,3,290,10,AC,
1,A,TRCY,E,2,31,3,AC,
7,A,ARCA,E,1,3,11,AC,
4,C,TROR,E,2,2,0,AC,
4,C,HYGL,E,2,11,9,AC,
6,B,VERO,E,3,56,2,AC,
4,A,POLE,E,3,0,0,AC,
4,A,ARCA,E,2,0,2,AC,
7,A,VERO,E,3,16,0,AC,
2,C,TROR,C,3,9,0,AC,
6,A,ARCA,E,3,4,0,AC,
2,B,PLDE,C,2,0,0,AC,
1,C,TROR,UNKNOWN,UNKNOWN,2,0,AC,Unknown
1,A,ARCA,C,2,0,29,AC,
6,A,TROR,T,2,12,0,AC,
1,B,PLDE,E,2,89,3,AC,
1,C,TRCY,E,3,9,2,AC,
2,C,ARCA,C,3,15,3,AC,
2,B,PLDE,C,1,12,5,AC,
1,C,TRCY,C,2,6,2,AC,
1,A,VERO,C,1,13,4,AC,
1,B,TRCY,C,1,13,3,AC,
8,C,TRCY,E,1,4,0,AC,
4,B,VERO,C,1,7,2,AC,
1,C,PEAI,C,1,22,16,AC,
1,C,PEAI,E,2,14,6,AC,
1,C,VERO,C,1,10,0,AC,Plus four additional viable black seeds (GOBE??)
7,C,TROR,E,3,4,0,AC,
3,B,VERO,E,3,1,2,AC,
4,A,TRCY,T,1,5,1,AC,
2,B,TROR,E,1,7,1,AC,
5,A,HYGL,C,2,17,0,AC,17 viable but underdeveloped
7,C,TRCY,T,1,6,0,AC,
5,A,VERO,E,1,10,3,AC,3 NV of which 1 partly eaten
8,C,TRCY,C,3,19,3,AC,
7,A,VERO,E,1,28,0,AC,
6,A,ARCA,E,1,27,3,AC,
6,B,VERO,E,1,8,1,AC,
2,B,TROR,E,2,13,1,AC,
7,C,TRCY,C,1,8,0,AC,
1,B,VERO,C,1,10,5,AC,
7,C,PEAI,T,2,40,2,AC,
5,B,TRCY,C,1,51,6,AC,
1,C,VERO,C,2,5,0,AC,
1,C,TROR,C,3,4,1,AC,
6,A,VERO,E,3,23,0,AC,
8,A,LARO,T,2,6,7,AC,1 flower
6,C,TRCY,C,1,2,1,AC,
8,B,LARO,E,2,0,16,AC,2 flowers
6,B,TROR,E,2,10,0,AC,
8,A,TROR,C,2,0,2,AC,
2,C,LARO,E,1,0,0,AC,
3,B,TRCY,E,1,8,0,AC,
3,C,TROR,E,1,6,0,AC,
1,B,LARO,C,3,0,4,AC,
1,C,LARO,E,3,0,5,AC,
6,C,TROR,C,2,4,0,AC,
6,A,VERO,E,1,25,4,AC,
3,A,PEAI,E,1,274,10,AC,Counted bracts
7,A,LARO,C,2,2,9,AC,
2,B,LARO,E,2,NA,NA,AC,"1 flower head, looks like I missed them"
2,B,VERO,T,2,3,0,AC,
2,B,PLDE,E,3,15,8,AC,
2,C,LARO,C,2,NA,NA,AC,"1 flower head, looks like I missed them"
6,C,LARO,C,3,0,2,AC,
1,B,LARO,E,3,16,0,AC,
6,B,TRCY,C,1,2,0,AC,
8,B,TROR,T,2,3,1,AC,
6,B,POLE,E,3,43,0,AC,
2,C,LARO,E,3,0,2,AC,
3,C,TRCY,E,3,3,2,AC,
3,C,TROR,E,3,7,0,AC,
6,C,TROR,E,3,4,0,AC,
6,C,TRCY,E,2,2,0,AC,
2,B,TRCY,C,1,0,1,AC,
2,A,TRCY,E,3,3,1,AC,
4,C,TRCY,T,2,3,1,AC,
1,B,VERO,C,2,14,0,AC,
1,C,TRCY,C,1,22,3,AC,
1,B,TRCY,C,2,20,2,AC,
6,B,HYGL,C,2,0,0,AC,
5,A,VERO,C,1,7,1,AC,
6,B,TRCY,T,2,1,1,AC,
6,B,LARO,C,3,2,3,AC,
6,B,TROR,E,3,2,2,AC,
2,C,TRCY,C,2,2,0,AC,
2,B,ARCA,E,1,19,3,AC,
2,C,PLDE,C,3,13,0,AC,
2,C,TRCY,C,3,1,1,AC,
2,A,ARCA,E,2,0,6,AC,
6,A,PEAI,E,1,6,2,AC,
2,C,PLDE,C,1,0,0,AC,
2,C,TRCY,E,3,2,2,AC,
2,A,PLDE,C,2,0,0,AC,
4,B,PLDE,E,2,2,0,AC,
4,C,PEAI,C,3,8,0,AC,
4,C,TROR,C,3,3,1,AC,
1,B,PLDE,T,2,14,0,AC,
1,A,TROR,C,2,6,2,AC,
1,C,PLDE,C,3,0,2,AC,
6,B,LARO,C,1,0,0,AC,1 flower
3,C,PEAI,E,2,28,0,AC,
1,C,PLDE,C,2,16,1,AC,Quite dark seed though (counted as viable)
5,B,ARCA,T,1,0,17,AC,
1,B,VERO,E,2,26,6,AC,
1,B,VERO,UNKNOWN,UNKNOWN,5,0,AC,"I think VERO in bottom left, i.e. 8,1 - vero c3."
1,C,LARO,T,2,2,6,AC,
6,B,POLE,E,1,37,270,AC,"Non-viable seeds are mostly undeveloped, 20 flower heads"
5,A,POLE,C,2,108,16,AC,2 flowers
4,C,ARCA,T,2,5,4,AC,
2,A,TROR,T,2,0,1,AC,
2,A,PLDE,E,3,3,0,AC,
2,A,TRCY,C,2,0,3,AC,
7,C,TRCY,E,1,14,3,AC,
1,A,PLDE,E,2,43,0,AC,
5,C,VERO,C,2,0,0,AC,
2,C,PLDE,E,2,12,0,AC,
2,C,ARCA,E,2,59,2,AC,
1,A,LARO,C,3,12,2,AC,3 flowers
6,B,POLE,C,3,46,3,AC,
8,A,PEAI,E,1,426,10,AC,Counted bracts
6,B,TRCY,C,3,8,2,AC,
6,C,VERO,E,1,15,10,AC,Packet 2/2
2,B,TROR,C,1,4,1,AC,
1,A,TRCY,C,2,6,6,AC,
5,A,TROR,C,3,3,3,AC,
5,A,TRCY,C,3,64,7,AC,
1,B,ARCA,C,2,17,6,AC,
4,C,TRCY,T,1,13,4,AC,
2,A,VERO,E,2,41,11,AC,
1,C,LARO,C,1,6,13,AC,
6,B,PEAI,E,1,24,2,AC,Dropped envelope after counting
2,C,PEAI,E,2,54,2,AC,
1,B,POLE,E,2,293,22,AC,
4,A,PLDE,C,2,0,0,AC,
7,B,LARO,T,2,12,7,AC,
7,B,LARO,C,1,NA,NA,AC,Looks like I missed them
2,A,POLE,C,1,NA,NA,AC,May have missed
7,B,TROR,E,1,2,1,AC,
7,C,LARO,C,3,4,4,AC,
7,C,LARO,E,2,NA,NA,AC,Looks like I missed them
4,A,PEAI,E,2,15,5,AC,
1,A,PEAI,C,2,6,100,AC,
1,C,VERO,E,2,3,0,AC,
7,B,ARCA,T,1,5,5,AC,
7,C,TROR,T,1,4,0,AC,
8,C,LARO,T,2,5,16,AC,
1,C,POLE,E,1,21,15,AC,
3,A,TRCY,E,1,9,3,AC,
6,A,TROR,E,3,25,1,AC,
6,A,POLE,C,2,NA,NA,AC,Likely missed
6,A,TRCY,E,3,6,0,AC,
6,A,TROR,C,1,6,2,AC,
6,A,VERO,E,3,6,2,AC,
