Site,Plot,Species,C_E_or_T,Rep,No_viable_seeds,No_inviable_seeds,Counted_by,Notes
6,A,LARO,C,1,0,2,AC,No plant in envelope
7,A,TROR,C,2,0,4,AC,
2,C,VERO,E,2,4,0,AC,
4,B,PLDE,C,3,0,2,AC,
4,B,PLDE,E,2,4,0,AC,
4,A,TRCY,E,3,2,0,AC,
2,B,TRCY,E,1,19,7,AC,
2,B,LARO,C,1,3,1,AC,
2,B,VERO,E,2,0,1,AC,
2,A,LARO,C,1,0,2,AC,
6,C,LARO,C,1,0,3,AC,
7,B,HYGL,E,1,56,23,AC,
7,A,VERO,E,3,4,0,AC,
7,A,TROR,T,2,2,0,AC,
7,A,TRCY,E,2,4,0,AC,
2,A,HYGL,C,1,0,7,AC,
4,C,LARO,C,3,NA,NA,AC,Looks like I missed them
4,C,PLDE,C,3,3,0,AC,
1,B,LARO,C,2,9,15,AC,
4,C,TRCY,E,1,4,2,AC,
5,B,VERO,E,3,2,0,AC,
5,B,LARO,E,2,0,3,AC,
5,B,TROR,C,3,5,0,AC,
4,C,HYGL,E,2,3,1,AC,
4,C,LARO,E,3,0,0,AC,
5,B,TROR,E,1,1,3,AC,
5,B,LARO,C,1,3,0,AC,1 flower head
2,C,TROR,E,1,2,0,AC,
4,B,VERO,E,3,2,0,AC,
4,B,HYGL,E,1,0,4,AC,
4,B,PLDE,C,2,3,0,AC,
1,B,HYGL,C,3,0,1,AC,
2,A,HYGL,E,3,6,0,AC,
4,A,HYGL,C,1,5,9,AC,
4,B,LARO,E,2,6,0,AC,1 flower head
4,B,LARO,E,3,0,5,AC,1 flower
1,C,ARCA,E,3,1,0,AC,No plant in envelope
5,A,TROR,C,2,4,0,AC,
1,A,PEAI,E,2,370,20,AC,
5,A,LARO,E,2,1,18,AC,2 flowers
3,C,PEAI,C,2,9,0,AC,
1,C,TRCY,E,2,0,2,AC,
8,C,LARO,T,1,NA,NA,AC,"1 flower head, looks like I missed them"
4,A,LARO,C,3,0,6,AC,1 flower
8,C,PEAI,C,3,268,0,AC,
1,A,TROR,T,2,2,1,AC,
8,C,PEAI,E,3,120,6,AC,
1,B,LARO,T,1,5,9,AC,"Non-viable seeds mostly eaten, no plant"
1,B,PEAI,C,1,380,20,AC,
4,B,TRCY,E,3,6,2,AC,
7,C,POLE,E,3,68,19,AC,2 flower heads
1,A,TROR,E,3,0,2,AC,
1,A,TRCY,E,3,2,1,AC,
4,B,PLDE,E,3,4,0,AC,
5,B,PEAI,C,2,90,10,AC,
4,B,TROR,E,1,2,0,AC,
7,C,POLE,E,1,27,140,AC,"4 flower heads, 1 'bud'"
5,A,POLE,E,1,101,43,AC,2 flower heads
8,B,PEAI,E,3,182,0,AC,"Mostly undeveloped (but plump), plant green"
3,B,PEAI,C,2,50,14,AC,
4,B,HYGL,E,1,4,2,AC,
6,C,HYGL,UNKNOWN,UNKNOWN,12,3,AC,"2 flowers, it's hygl but envelope said PEAI E3 6C"
2,C,POLE,C,2,54,60,AC,
7,A,PEAI,C,2,3,3,AC,
7,A,PEAI,E,3,4,2,AC,
1,B,PEAI,E,3,9,3,AC,
4,A,PEAI,T,2,17,3,AC,
4,B,LARO,T,2,0,0,AC,1 flower
6,B,POLE,E,2,0,0,AC,3 flowers
2,C,POLE,E,1,20,120,AC,5 flower heads
2,C,PEAI,C,1,0,2,AC,
7,C,PEAI,C,1,26,26,AC,
5,B,PEAI,E,3,100,20,AC,
5,B,PEAI,C,3,20,28,AC,
6,B,POLE,C,2,8,12,AC,"2 flowers, 3rd stem eaten?"
