Row,Column,Species,C_E_or_T,Rep,No_germinants_190720,Notes_190720,Notes_thinning_010820,No_germinants_130820,Budding_or_flowering_130820
1,1,TROR,E,2,1,,Dead,1,
1,2,TRCY,T,1,3,,,3,
1,3,PEAI,C,3,0,,Plus two germinants,2,
1,4,TROR,E,3,1,,,1,
1,5,LARO,C,1,0,,,0,
1,6,POLE,C,2,0,,,0,
1,7,ARCA,E,1,0,,Swapped with ARCA T2,0,
1,8,HYGL,C,1,0,,,0,
1,9,LARO,E,2,0,,,0,
2,1,LARO,C,3,0,,,0,
2,2,VERO,E,2,1,Almost dead,One leaf,1,
2,3,HYGL,T,2,0,,,0,
2,4,LARO,C,2,0,,,0,
2,5,VERO,E,1,7,,Accidentally thinned two plants. Now 2 neighbours. Swapped.,7,
2,6,ARCA,T,2,5,,,5,
2,7,PLDE,C,2,0,,Swapped with PLDE T2,0,
2,8,HYGL,E,3,0,,,0,
2,9,POLE,C,1,0,,,0,
3,1,TROR,E,1,0,,Swapped with TROR T1,0,
3,2,POLE,E,1,0,,,0,
3,3,PEAI,E,2,2,,,2,
3,4,PEAI,E,1,2,,,2,
3,5,PEAI,E,3,3,,,3,
3,6,ARCA,C,1,0,,Swapped with ARCA T1,0,
3,7,PLDE,T,2,1,,,1,
3,8,TRCY,C,2,6,,Dead,6,
3,9,VERO,C,1,7,,No neighbours. Swapped with VERO E1,7,
4,1,PLDE,T,1,6,,Dead,6,
4,2,VERO,T,1,3,,,3,
4,3,HYGL,T,1,0,,,0,
4,4,ARCA,C,3,2,,Dead,2,
4,5,PEAI,T,2,1,Not sure if done,Dead. 0,1,
4,6,LARO,E,1,2,,,2,
4,7,ARCA,E,3,3,,Almost dead,3,
4,8,POLE,E,2,0,,,0,
4,9,POLE,C,3,0,,,0,
5,1,PLDE,E,1,1,,,1,
5,2,TROR,T,2,0,,,0,
5,8,TROR,C,1,1,Not sure if from my seed,,1,
5,9,TROR,T,1,4,,Likely to die,4,
6,1,TRCY,C,3,0,,,0,
6,2,VERO,C,2,0,,Swapped with VERO T1,0,
6,8,TRCY,C,1,6,,One neighbour (and dead erodium),6,
6,9,ARCA,T,1,1,,,1,
7,1,HYGL,C,3,0,,,0,
7,2,VERO,T,2,0,,,0,
7,8,PEAI,T,1,1,,,1,
7,9,PLDE,E,3,4,,,4,
8,1,TRCY,E,1,0,,Swapped with TRCY T1,0,
8,2,PLDE,E,2,0,,,0,
8,3,LARO,T,1,0,Not sure if done,,0,
8,4,LARO,E,3,4,,,4,Budding
8,6,VERO,E,3,5,,,5,
8,7,TRCY,E,3,10,,,10,
8,8,PLDE,C,3,5,,,5,
8,9,TROR,C,2,1,Not sure if planted seed,Dead,1,
9,1,POLE,E,3,0,,,0,
9,2,LARO,T,2,2,,No neighbours,2,
9,3,HYGL,C,2,0,,,0,
9,4,TRCY,T,2,4,,Dead,4,
9,6,HYGL,E,2,0,,One new germ. Check ID,0,
9,7,PEAI,C,1,2,,,2,
9,8,VERO,C,3,0,,,0,
9,9,PEAI,C,2,3,,,3,
10,1,ARCA,C,2,2,,,2,
10,2,PLDE,C,1,1,,,1,
10,3,TRCY,E,2,0,,,0,
10,4,POLE,T,1,0,,,0,
10,6,POLE,T,2,1,Check not ARCA?,"Not POLE, likely WAAC",0,
10,7,ARCA,E,2,2,,,2,
10,8,HYGL,E,1,1,,,1,Budding
10,9,TROR,C,3,1,,,1,
