Row,Column,Species,C_E_or_T,Rep,No_germinants_210720,Notes_210720,Notes_thinning_010820,No_germinants_130820,Budding_or_flowering_130820
1,1,TROR,T,2,0,,,0,
1,2,PEAI,E,2,9,,Plus two germinants,11,
1,3,VERO,E,2,13,,,13,Budding
1,4,ARCA,T,2,2,,,2,
1,5,ARCA,E,1,3,,,3,
1,6,TRCY,T,1,10,,Dodder,10,
1,7,ARCA,C,1,1,Dodder,Dodder,1,
1,8,TROR,E,2,1,,,1,
1,9,TRCY,E,3,0,,Swapped with TRCY T2,0,
2,1,ARCA,C,2,0,,Swapped with ARCA T2,0,
2,2,TRCY,E,1,4,,,4,
2,3,LARO,T,1,2,Dodder,No more dodder,2,Budding
2,4,PLDE,E,3,8,,,8,
2,5,TRCY,C,2,1,Dodder,,1,
2,6,VERO,E,1,8,Dodder,,8,
2,7,LARO,C,2,6,,Dodder,6,Budding
2,8,TROR,C,1,3,,,3,
2,9,TRCY,T,2,2,,,2,
3,1,ARCA,C,3,3,,Dodder,3,
3,2,LARO,C,1,10,,,10,Flowering
3,3,POLE,E,2,0,,Swapped with POLE T1,0,
3,4,LARO,E,2,8,,Budding,8,Flowering
3,5,PEAI,E,1,7,,Plus one germinant,8,
3,6,ARCA,E,2,2,,Dodder,2,
3,7,POLE,T,2,0,,,0,
3,8,TRCY,C,1,0,,Swapped with TRCY T1,0,
3,9,PLDE,C,1,10,,,10,
4,1,HYGL,E,1,3,No matchstick,,3,
4,2,TROR,C,3,1,,Dead,1,
4,3,ARCA,T,1,0,,Dead,0,
4,4,PLDE,C,3,0,,Swapped with PLDE T2,0,
4,5,LARO,T,2,5,Focal budding,Flowering!! Just starting to,5,Flowering
4,6,PEAI,C,1,5,,,5,
4,7,VERO,T,2,8,Dodder,Dodder,8,Budding
4,8,POLE,T,1,2,,,2,
4,9,TROR,E,1,7,,,7,
5,1,LARO,C,3,9,Dodder,Dodder,9,
5,2,HYGL,C,1,4,,Dodder. Budding,4,Flowering
5,8,TRCY,C,3,4,,,4,
5,9,LARO,E,1,4,,,4,Flowering
6,1,TRCY,E,2,6,,Dodder. Tore off a leaf trying to remove dodder,6,
6,2,VERO,C,3,11,,Dodder,11,
6,8,PEAI,C,2,9,,,9,
6,9,PEAI,T,1,9,,Almost dead?,9,
7,1,PLDE,T,2,11,,,11,
7,2,POLE,E,3,0,,,0,
7,8,HYGL,C,2,5,,Unhappy. No neighbours. Washed out green. Swapped with HYGL T2,5,
7,9,ARCA,E,3,0,,,0,
8,1,PEAI,C,3,6,,,6,
8,2,VERO,E,3,13,,,13,
8,3,TROR,C,2,7,,Dodder,7,
8,4,POLE,C,2,1,,Dodder,1,
8,6,TROR,T,1,0,,,0,
8,7,VERO,T,1,7,,,7,Budding
8,8,PLDE,E,2,11,,,11,
8,9,PLDE,C,2,10,,,10,
9,1,TROR,E,3,2,,,2,
9,2,PLDE,T,1,7,,,7,
9,3,HYGL,C,3,4,,Dodder,4,
9,4,PLDE,E,1,0,,Swapped with PLDE T1,0,
9,6,VERO,C,2,10,,,10,
9,7,VERO,C,1,6,,,6,
9,8,LARO,E,3,5,Focal budding,No buds? Main stem eaten? Still healthy,5,Budding
9,9,PEAI,E,3,0,,Swapped with PEAI T1,0,
10,1,HYGL,T,1,5,Dodder,Dodder,5,
10,2,HYGL,E,3,5,,Dead. Swapped with HYGL T1,5,
10,3,POLE,C,1,5?,New germs! Check,0,5?,
10,4,HYGL,E,2,1,New germ,0. Dead?,1,
10,6,PEAI,T,2,7,,Almost dead,7,
10,7,POLE,C,3,0,,,0,
10,8,POLE,E,1,2,,,2,
10,9,HYGL,T,2,2,Dodder,,2,
