Row,Column,Species,C_E_or_T,Rep,No_germinants_200720,Notes_200720,Notes_thinning_310720,No_germinants_130820,Budding_or_flowering_130820
1,1,PLDE,E,2,NA,,,NA,
1,2,VERO,C,1,0,,Swapped with VERO T2,0,
1,3,PLDE,C,2,NA,,,NA,
1,4,TROR,C,2,1,,One neighbour,1,
1,5,HYGL,E,3,1,,Likely to die,1,
1,6,ARCA,C,1,1,Check ID,Dead,1,
1,7,POLE,E,1,2,,Not 100% on ID. Long cotyledons,2,
1,8,ARCA,C,3,0,,,0,
1,9,PEAI,T,2,3,,,3,
2,1,VERO,E,3,0,,,0,
2,2,TRCY,C,1,0,,,0,
2,3,POLE,T,1,0,,,0,
2,4,POLE,E,2,0,,,0,
2,5,LARO,E,3,0,,,0,
2,6,HYGL,T,2,0,,,0,
2,7,HYGL,E,1,1?,Check ID,Maybe. Small. Check,1?,
2,8,LARO,C,2,3,,,3,Budding
2,9,VERO,T,2,8,,,8,Budding
3,1,ARCA,E,1,1,,Dead,1,
3,2,ARCA,T,2,0,,,0,
3,3,PEAI,E,1,1,,Dead,1,
3,4,ARCA,C,2,1,Doesn't look done. Check ID,Tiny. Check. No neighbours,1,
3,5,LARO,E,2,2,,,2,Flowering
3,6,HYGL,E,2,0,,,0,
3,7,PEAI,E,2,4,,,4,
3,8,HYGL,C,2,2,Not sure if big one is my seed,"Yes, close enough to be likely",2,Budding
3,9,TRCY,E,3,3,,,3,
4,1,PLDE,C,3,NA,,,NA,
4,2,VERO,C,3,0,,,0,
4,3,TRCY,C,3,7,,One neighbour,7,Budding?! Just leaves?
4,4,PEAI,C,1,2,,,2,
4,5,TROR,T,1,1,May die,Dead,1,
4,6,TROR,C,3,4,,,4,
4,7,PLDE,C,1,NA,,,NA,
4,8,LARO,T,1,3,,,3,
4,9,POLE,C,3,0,,,0,
5,1,PLDE,T,2,NA,,,NA,
5,2,PEAI,E,3,0,,Swapped with PEAI T2,0,
5,8,TRCY,C,2,0,,Swapped with TRCY T1,0,
5,9,VERO,C,2,0,,,0,
6,1,VERO,E,1,1,,,1,Budding
6,2,LARO,C,1,0,,Swapped with LARO T1,0,
6,8,PEAI,T,1,1,,,1,
6,9,TROR,C,1,4,,,4,
7,1,VERO,T,1,0,,,0,
7,2,ARCA,E,2,2,,,2,
7,8,PLDE,E,1,NA,,,NA,
7,9,POLE,C,2,2,,"No neighbours, swapped with POLE E3",2,
8,1,TROR,E,2,0,,,0,
8,2,HYGL,C,1,1,Very small,Dead,4,3 new germs
8,3,TROR,T,2,0,,,0,
8,4,ARCA,E,3,1,,Dead,1,
8,6,TRCY,T,1,10,,,10,
8,7,PLDE,T,1,NA,,,NA,
8,8,VERO,E,2,2,,,2,Budding
8,9,PEAI,C,3,1,,,1,
9,1,POLE,T,2,0,,,0,
9,2,TRCY,T,2,0,,,0,
9,3,ARCA,T,1,0,,,0,
9,4,TROR,E,3,1,,May die,1,
9,6,TROR,E,1,2,,Almost dead,2,Budding?! Weird leaves?
9,7,LARO,E,1,4,,,4,Flowering
9,8,PLDE,E,3,NA,,,NA,
9,9,HYGL,T,1,0,,,0,
10,1,POLE,C,1,0,,,0,
10,2,LARO,T,2,0,,,0,
10,3,LARO,C,3,0,,,0,
10,4,TRCY,E,1,2,,,2,
10,6,TRCY,E,2,6,,,6,
10,7,PEAI,C,2,5,,Plus 3 new germinants.,8,
10,8,HYGL,C,3,1,,,1,
10,9,POLE,E,3,3,,,3,
