Row,Column,Species,C_E_or_T,Rep,No_germinants_180720,Notes_180720,Notes_thinning_310720,No_germinants_130820,Budding_or_flowering_130820
1,1,TRCY,E,2,7,,,7,
1,2,PLDE,E,2,11,,Dead. Swapped with PLDE T1,11,
1,3,HYGL,E,1,0,,,0,
1,4,LARO,E,1,0,There is 1 LARO in HYGL E1,Swapped with LARO T1,0,
1,5,TRCY,C,1,9,,,9,
1,6,HYGL,E,2,2,,,2,
1,7,PLDE,E,1,7,,,7,
1,8,PEAI,E,3,9,,,9,
1,9,VERO,E,1,0,,,0,
2,1,POLE,E,2,1,,,1,
2,2,ARCA,C,1,5,,,5,
2,3,ARCA,E,1,5,,,5,
2,4,TROR,C,3,3,,,3,
2,5,VERO,C,2,3,,Dodder,3,
2,6,TROR,E,2,6,,,6,
2,7,VERO,T,2,0,,,0,
2,8,PLDE,C,2,9,,,9,
2,9,TROR,E,1,8,,,8,
3,1,PEAI,T,2,9,,,9,
3,2,POLE,E,1,0,,,0,
3,3,TROR,E,3,11,,,11,
3,4,PLDE,C,1,9,,Dodder,9,
3,5,ARCA,C,3,3,,Dodder,3,
3,6,HYGL,T,1,2,,,2,
3,7,HYGL,C,2,0,,Swapped with HYGL T1,0,
3,8,PLDE,T,1,8,,,8,
3,9,VERO,E,3,6,,,6,
4,1,PLDE,C,3,9,,,9,
4,2,POLE,C,3,1,,,1,
4,3,VERO,C,3,0,,,0,
4,4,LARO,C,3,1,Budding,,1,Flowering
4,5,ARCA,E,2,8,,,8,
4,6,PLDE,E,3,6,,,6,
4,7,TRCY,T,1,9,,,9,
4,8,POLE,T,1,0,,,0,
4,9,TRCY,E,1,6,,Dodder,6,
5,1,PLDE,T,2,0,,,0,
5,2,ARCA,T,2,10,,,10,
5,8,LARO,E,2,8,Focal budding,,8,Flowering
5,9,TROR,T,2,10,,,10,
6,1,POLE,C,1,1,,,1,
6,2,LARO,T,1,4,,,4,
6,8,VERO,E,2,0,,,0,
6,9,ARCA,C,2,4,,,4,
7,1,HYGL,E,3,0,,,0,
7,2,PEAI,C,1,7,,,7,
7,8,PEAI,C,2,5,,,5,
7,9,TROR,T,1,10,,,10,
8,1,ARCA,E,3,5,,,5,
8,2,POLE,T,2,0,,,0,
8,3,TRCY,E,3,5,,,5,
8,4,LARO,T,2,5,,Budding,5,
8,6,TRCY,C,3,3,,,3,
8,7,TROR,C,2,2,,,2,
8,8,ARCA,T,1,3,,,3,
8,9,PEAI,E,2,3,,,3,
9,1,TRCY,T,2,1,,,1,
9,2,POLE,E,3,0,,,0,
9,3,LARO,C,2,0,,Swapped with LARO T2,0,
9,4,PEAI,C,3,7,,,7,
9,6,POLE,C,2,0,,,0,
9,7,LARO,C,1,5,,Dodder,5,
9,8,LARO,E,3,5,Dodder,Dodder,5,
9,9,TROR,C,1,1,Dodder,,1,
10,1,VERO,T,1,0,,,0,
10,2,PEAI,T,1,4,,,4,
10,3,HYGL,C,3,0,,,0,
10,4,TRCY,C,2,7,,,7,
10,6,HYGL,C,1,0,,Swapped with HYGL T2,0,
10,7,HYGL,T,2,2,,No big true leaves - all tiny. Eaten? Growing?,2,
10,8,VERO,C,1,9,Dodder,,9,
10,9,PEAI,E,1,9,,,9,
